Cigarettes
45
16
17
22
15
14
15
18
15
17
51
15
16
15
15
15
20
17
15
30
15
22
20
18
16
15
19
15
16
18
20
19
15
17
16
15
16
15
16
15
18
17
14
17
19
18
15
16
15
14
14
17
15
19
17
16
15
14
18
15
17
15
16
21
15
17
15
17
15
14
15
14
16
15
15
14
17
16
16
16
15
16
14
17
18
19
18
14
19
15
16
15
14
19
15
17
17
18
18
16
15
24
16
35
15
17
19
20
19
15
18
17
18
20
14
16
16
17
14
15
14
15
24
15
15
15
16
16
15
20
14
15
15
19
15
14
15
14
17
14
15
16
15
15
17
17
15
14
17
16
22
27
15
18
20
16
16
16
15
16
34
15
18
14
16
15
18
15
16
15
15
15
14
16
14
15
15
15
16
15
14
25
16
15
16
20
17
15
19
20
14
15
15
15
20
20
15
15
14
40
16
15
21
17
18
14
21
15
18
19
15
14
15
19
17
15
19
15
17
15
19
19
15
16
17
20
15
18
15
17
17
22
18
15
15
15
15
15
29
17
15
15
16
15
15
15
17
15
16
17
